transaction_id,customer_id,counterparty_id,amount,timestamp,channel,country,txn_type
607ea49b,1436,1495,1162.77,2026-06-01T00:10:17,card,US,transfer
e2e80276,1065,1457,1828.89,2026-06-01T00:15:17,cash_deposit,US,transfer
fe9480ce,1217,1150,493.21,2026-06-01T00:36:15,card,US,transfer
838ee1e6,1487,1475,573.96,2026-06-01T00:43:27,card,AE,transfer
9845357e,1365,1331,149.49,2026-06-01T01:49:46,ach,SG,transfer
70747ca8,1443,1256,228.91,2026-06-01T02:01:33,wire,AE,transfer
291c4364,1370,1106,224.9,2026-06-01T02:02:02,card,UK,transfer
9e3bdd1e,1485,1474,104.22,2026-06-01T02:07:25,card,US,transfer
861b6f1d,1335,1123,715.77,2026-06-01T02:09:59,card,UK,transfer
5aa95db1,1247,1284,1052.8,2026-06-01T02:30:12,cash_withdrawal,UK,transfer
f02a39c7,1472,1168,483.47,2026-06-01T02:34:11,card,UK,transfer
3a2534cb,1445,1450,5243.13,2026-06-01T02:39:14,wire,AE,transfer
205082fb,1322,1079,2476.12,2026-06-01T02:41:45,cash_deposit,US,transfer
ad845d80,1444,1220,681.72,2026-06-01T02:50:48,card,US,transfer
0044f5fc,1463,1231,877.25,2026-06-01T03:06:44,card,AE,transfer
fd2a6190,1318,1000,88.39,2026-06-01T03:08:10,cash_withdrawal,US,transfer
dc390585,1372,1488,464.8,2026-06-01T03:28:41,wire,US,transfer
fe011f17,1454,1308,301.97,2026-06-01T03:48:19,card,US,transfer
af532290,1296,1387,1480.17,2026-06-01T03:51:38,wire,US,transfer
4238acf2,1208,1256,525.03,2026-06-01T04:16:16,card,US,transfer
661ea749,1480,1213,122.58,2026-06-01T04:36:23,cash_withdrawal,AE,transfer
706fe891,1047,1156,253.56,2026-06-01T04:48:17,cash_withdrawal,US,transfer
7b5fffc2,1333,1360,137.45,2026-06-01T04:50:01,card,SG,transfer
f929156b,1244,1142,1500.62,2026-06-01T04:57:09,wire,US,transfer
850529b2,1226,1223,874.77,2026-06-01T05:02:59,cash_withdrawal,US,transfer
c6f35a39,1058,1375,217.64,2026-06-01T05:24:37,cash_deposit,US,transfer
6234e2d7,1281,1365,418.05,2026-06-01T05:52:59,cash_withdrawal,AE,transfer
a9f3addc,1291,1251,310.0,2026-06-01T06:07:16,cash_deposit,SG,transfer
ce62d4d8,1451,1015,2237.26,2026-06-01T06:07:33,wire,AE,transfer
03182305,1272,1335,235.44,2026-06-01T06:25:19,cash_withdrawal,US,transfer
f3b16a7a,1013,1368,3050.69,2026-06-01T06:27:55,cash_deposit,US,transfer
ce66734f,1266,1066,827.49,2026-06-01T06:30:39,cash_deposit,SG,transfer
2edf205e,1490,1339,600.52,2026-06-01T06:44:25,wire,US,transfer
5c1ee252,1110,1383,188.44,2026-06-01T06:46:03,card,SG,transfer
88349107,1186,1211,940.13,2026-06-01T07:15:19,wire,UK,transfer
575eee7d,1199,1225,881.12,2026-06-01T07:22:47,cash_withdrawal,AE,transfer
b95f915b,1183,1395,1180.91,2026-06-01T07:41:30,cash_deposit,SG,transfer
34b70e18,1025,1457,826.69,2026-06-01T07:57:05,wire,US,transfer
bb4b0930,1456,1133,487.83,2026-06-01T08:10:02,wire,AE,transfer
b4ddc5e4,1423,1468,235.1,2026-06-01T08:12:50,ach,US,transfer
6d2a2cd6,1035,1018,99.57,2026-06-01T08:15:25,cash_withdrawal,US,transfer
72e22b8f,1387,1309,3830.47,2026-06-01T08:19:34,cash_deposit,US,transfer
2758887f,1185,1029,97.34,2026-06-01T08:42:26,card,UK,transfer
ca3b4294,1128,1375,145.68,2026-06-01T09:22:14,cash_withdrawal,US,transfer
7760f3d6,1446,1415,2433.0,2026-06-01T09:48:28,cash_withdrawal,UK,transfer
d3136d2c,1141,1060,1199.93,2026-06-01T10:06:22,cash_deposit,UK,transfer
630da5fc,1336,1480,458.16,2026-06-01T10:24:19,wire,US,transfer
e6737f90,1466,1011,252.62,2026-06-01T10:33:29,cash_deposit,US,transfer
4e2b0be1,1233,1408,971.54,2026-06-01T11:16:05,cash_withdrawal,US,transfer
cea58841,1098,1056,2830.9,2026-06-01T11:25:39,card,US,transfer
a7f9203e,1499,1097,1640.07,2026-06-01T11:26:29,cash_deposit,US,transfer
4bc246e7,1287,1463,250.66,2026-06-01T11:35:13,wire,SG,transfer
e7eede07,1058,1339,460.25,2026-06-01T11:44:51,card,US,transfer
85803b1e,1456,1271,458.89,2026-06-01T11:51:06,cash_withdrawal,UK,transfer
0648fb1a,1039,1085,494.95,2026-06-01T12:33:52,wire,US,transfer
6dd59193,1121,1151,93.43,2026-06-01T12:41:52,ach,AE,transfer
b6c802c9,1388,1198,117.21,2026-06-01T13:02:19,card,UK,transfer
a52bee92,1484,1334,328.98,2026-06-01T13:05:14,cash_deposit,UK,transfer
cdeee7fd,1148,1435,2409.3,2026-06-01T13:09:21,ach,AE,transfer
b8619a39,1453,1439,1482.48,2026-06-01T13:14:34,cash_deposit,SG,transfer
a0e4dbe2,1274,1186,218.38,2026-06-01T13:22:47,card,UK,transfer
2a3aef0e,1490,1124,243.64,2026-06-01T13:28:39,ach,US,transfer
fe9c08d7,1498,1435,2272.23,2026-06-01T13:31:35,wire,AE,transfer
73be5819,1142,1253,1210.03,2026-06-01T13:35:26,card,SG,transfer
b91ecf88,1091,1390,2168.72,2026-06-01T13:49:28,wire,AE,transfer
2ca25407,1056,1168,915.67,2026-06-01T13:52:56,card,US,transfer
a98e52a6,1468,1090,138.06,2026-06-01T13:54:33,cash_deposit,AE,transfer
ff4f5d87,1317,1201,3525.97,2026-06-01T14:04:10,ach,SG,transfer
74fb43cb,1158,1020,293.62,2026-06-01T14:06:58,cash_withdrawal,US,transfer
3b872baf,1059,1058,380.5,2026-06-01T14:21:47,ach,AE,transfer
5e8ecbf1,1008,1232,681.65,2026-06-01T14:35:28,wire,AE,transfer
fdaf6c41,1106,1090,996.46,2026-06-01T14:59:57,ach,SG,transfer
45d4d8d5,1485,1341,715.29,2026-06-01T15:30:18,cash_withdrawal,AE,transfer
b84f64cd,1249,1179,1863.92,2026-06-01T15:35:52,cash_withdrawal,US,transfer
87908190,1256,1297,201.5,2026-06-01T15:43:45,card,US,transfer
974abdda,1287,1120,336.59,2026-06-01T16:09:35,ach,AE,transfer
11e34033,1446,1463,114.98,2026-06-01T16:18:44,cash_withdrawal,SG,transfer
379ab732,1132,1420,253.75,2026-06-01T16:24:32,wire,US,transfer
a48cc83d,1280,1272,416.41,2026-06-01T16:36:29,wire,US,transfer
cf6a3010,1379,1168,6022.81,2026-06-01T16:46:43,cash_withdrawal,UK,transfer
d7eb3021,1430,1363,119.96,2026-06-01T16:58:06,cash_withdrawal,US,transfer
26a3d4c0,1135,1345,369.75,2026-06-01T17:01:04,cash_withdrawal,AE,transfer
09208c67,1061,1361,1175.46,2026-06-01T17:09:13,wire,US,transfer
1d9e1dd9,1255,1451,305.86,2026-06-01T17:29:39,ach,AE,transfer
cce60c93,1274,1223,210.96,2026-06-01T17:37:54,ach,US,transfer
8ddc174b,1014,1325,3359.72,2026-06-01T17:52:03,cash_deposit,UK,transfer
7d3349d2,1247,1423,1883.81,2026-06-01T18:06:37,cash_withdrawal,US,transfer
f026a2de,1012,1470,373.97,2026-06-01T18:47:41,ach,AE,transfer
15f9d01b,1343,1059,1314.53,2026-06-01T18:50:24,cash_withdrawal,US,transfer
e2052d25,1230,1085,435.02,2026-06-01T19:03:02,wire,UK,transfer
8461d360,1047,1420,1450.36,2026-06-01T19:06:43,card,US,transfer
fe7946f0,1363,1091,23.82,2026-06-01T19:17:48,cash_deposit,AE,transfer
a74932d5,1432,1379,222.29,2026-06-01T19:22:25,cash_withdrawal,UK,transfer
65283672,1335,1284,693.53,2026-06-01T19:29:45,card,US,transfer
badcfde8,1384,1352,464.49,2026-06-01T20:05:53,wire,SG,transfer
5e56ef4b,1190,1261,403.48,2026-06-01T20:14:07,cash_withdrawal,UK,transfer
77d25281,1328,1194,352.67,2026-06-01T20:45:45,card,UK,transfer
0f87488b,1061,1424,283.89,2026-06-01T21:10:40,cash_withdrawal,US,transfer
19e693b8,1396,1327,677.61,2026-06-01T21:19:12,wire,SG,transfer
09d84348,1305,1480,8275.3,2026-06-01T21:26:25,ach,US,transfer
